year,avg_temp,MA_Global_10 years,MA_Global_5years,city,Year,temperature,MA_Kobe 10 years,MA_kobe_5years
1750,8.72,,,Kobe,1841,13.72,,
1751,7.98,,,Kobe,1842,14.18,,
1752,5.78,,,Kobe,1843,14.32,,
1753,8.39,,,Kobe,1844,13.97,,
1754,8.47,,,Kobe,1845,14.16,,
1755,8.36,,0,Kobe,1846,14.44,,
1756,8.85,,,Kobe,1847,14.48,,
1757,9.02,,,Kobe,1848,14.34,,
1758,6.74,,,Kobe,1849,14.31,,
1759,7.99,,,Kobe,1850,13.87,,
1760,7.19,7.953636364,,Kobe,1851,13.77,14.14181818,
1761,8.77,7.958181818,,Kobe,1852,13.79,14.14818182,
1762,8.61,8.015454545,,Kobe,1853,14.04,14.13545455,
1763,7.5,8.171818182,,Kobe,1854,14.45,14.14727273,
1764,8.4,8.172727273,,Kobe,1855,14.71,14.21454545,
1765,8.25,8.152727273,,Kobe,1856,14.24,14.22181818,
1766,8.41,8.157272727,,Kobe,1857,14.2,14.2,
1767,8.22,8.1,,Kobe,1858,14.35,14.18818182,
1768,6.78,7.896363636,,Kobe,1859,14.33,14.18727273,
1769,7.69,7.982727273,,Kobe,1860,13.82,14.14272727,
1770,7.69,7.955454545,,Kobe,1861,13.94,14.14909091,
1771,7.85,8.015454545,,Kobe,1862,13.75,14.14727273,
1772,8.19,7.962727273,,Kobe,1863,14.45,14.20727273,
1773,8.22,7.927272727,,Kobe,1864,14,14.20363636,
1774,8.77,8.042727273,,Kobe,1865,14.44,14.20272727,
1775,9.18,8.113636364,,Kobe,1866,13.83,14.12272727,
1776,8.3,8.118181818,,Kobe,1867,14.62,14.15727273,
1777,8.26,8.104545455,,Kobe,1868,14.45,14.18,
1778,8.54,8.133636364,,Kobe,1869,14.4,14.18454545,
1779,8.98,8.333636364,,Kobe,1870,14.41,14.19181818,
1780,9.43,8.491818182,,Kobe,1871,14.43,14.24727273,
1781,8.1,8.529090909,,Kobe,1872,14.22,14.27272727,
1782,7.9,8.533636364,,Kobe,1873,13.71,14.26909091,
1783,7.68,8.487272727,,Kobe,1874,14.47,14.27090909,
1784,7.86,8.454545455,,Kobe,1875,14.23,14.29181818,
1785,7.36,8.326363636,,Kobe,1876,14.46,14.29363636,
1786,8.26,8.242727273,,Kobe,1877,14.7,14.37272727,
1787,8.03,8.218181818,,Kobe,1878,14.4,14.35272727,
1788,8.45,8.235454545,,Kobe,1879,14.83,14.38727273,
1789,8.33,8.216363636,,Kobe,1880,14.44,14.39090909,
1790,7.98,8.125454545,,Kobe,1881,14.25,14.37636364,
1791,8.23,8.016363636,,Kobe,1882,14.27,14.36181818,
1792,8.09,8.015454545,,Kobe,1883,14.29,14.36818182,
1793,8.23,8.045454545,,Kobe,1884,13.41,14.34090909,
1794,8.53,8.122727273,,Kobe,1885,13.88,14.28727273,
1795,8.35,8.167272727,,Kobe,1886,14.28,14.29181818,
1796,8.27,8.25,,Kobe,1887,14.31,14.27818182,
1797,8.51,8.272727273,,Kobe,1888,14.45,14.25545455,
1798,8.67,8.330909091,,Kobe,1889,13.94,14.21363636,
1799,8.51,8.336363636,,Kobe,1890,15.49,14.27363636,
1800,8.48,8.35,,Kobe,1891,14.5,14.27909091,
1801,8.59,8.405454545,,Kobe,1892,14.21,14.27545455,
1802,8.58,8.437272727,,Kobe,1893,14.07,14.25727273,
1803,8.5,8.474545455,,Kobe,1894,15.26,14.34545455,
1804,8.84,8.53,,Kobe,1895,14.4,14.43545455,
1805,8.56,8.532727273,,Kobe,1896,14.26,14.47,
1806,8.43,8.54,,Kobe,1897,14.24,14.46636364,
1807,8.28,8.540909091,,Kobe,1898,14.99,14.52818182,
1808,7.63,8.460909091,,Kobe,1899,14.5,14.53272727,
1809,7.08,8.316363636,,Kobe,1900,14.33,14.56818182,
1810,6.92,8.171818182,,Kobe,1901,14.2,14.45090909,
1811,6.86,8.024545455,,Kobe,1902,14.31,14.43363636,
1812,7.05,7.884545455,,Kobe,1903,14.46,14.45636364,
1813,7.74,7.808181818,,Kobe,1904,14.36,14.48272727,
1814,7.59,7.725454545,,Kobe,1905,14.51,14.41454545,
1815,7.24,7.58,,Kobe,1906,13.98,14.37636364,
1816,6.94,7.432727273,,Kobe,1907,14.09,14.36090909,
1817,6.98,7.300909091,,Kobe,1908,14.12,14.35,
1818,7.83,7.26,,Kobe,1909,14.16,14.27454545,
1819,7.37,7.236363636,,Kobe,1910,14.08,14.23636364,
1820,7.62,7.285454545,,Kobe,1911,14.58,14.25909091,
1821,8.09,7.391818182,,Kobe,1912,14.37,14.27454545,
